/home/vijay/.local/lib/python3.10/site-packages/bitsandbytes/autograd/_functions.py:316: UserWarning: MatMul8bitLt: inputs will be cast from torch.float32 to float16 during quantization
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")
{'loss': 1.2889, 'grad_norm': 0.3178647458553314, 'learning_rate': 1.0000000000000002e-06, 'epoch': 0.00044662795891022776}
{'loss': 1.5143, 'grad_norm': 0.26586464047431946, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.0008932559178204555}
{'loss': 1.2958, 'grad_norm': 0.655897319316864, 'learning_rate': 3e-06, 'epoch': 0.0013398838767306833}
{'loss': 1.5873, 'grad_norm': 0.3359854817390442, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.001786511835640911}
{'loss': 1.6042, 'grad_norm': 0.28149449825286865, 'learning_rate': 5e-06, 'epoch': 0.0022331397945511387}
{'loss': 1.3125, 'grad_norm': 0.35635682940483093, 'learning_rate': 6e-06, 'epoch': 0.0026797677534613666}
{'loss': 1.3487, 'grad_norm': 0.25092336535453796, 'learning_rate': 7.000000000000001e-06, 'epoch': 0.0031263957123715946}
{'loss': 1.1937, 'grad_norm': 0.22137288749217987, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.003573023671281822}
{'loss': 1.3402, 'grad_norm': 0.26497596502304077, 'learning_rate': 9e-06, 'epoch': 0.00401965163019205}
{'loss': 1.4243, 'grad_norm': 0.26526764035224915, 'learning_rate': 1e-05, 'epoch': 0.0044662795891022775}
{'loss': 1.2544, 'grad_norm': 0.2859072983264923, 'learning_rate': 1.1000000000000001e-05, 'epoch': 0.004912907548012505}
{'loss': 1.1983, 'grad_norm': 0.3533954322338104, 'learning_rate': 1.2e-05, 'epoch': 0.005359535506922733}
{'loss': 1.3677, 'grad_norm': 0.26700305938720703, 'learning_rate': 1.3000000000000001e-05, 'epoch': 0.005806163465832961}
{'loss': 1.3249, 'grad_norm': 0.3348095118999481, 'learning_rate': 1.4000000000000001e-05, 'epoch': 0.006252791424743189}
{'loss': 1.3663, 'grad_norm': 0.34744372963905334, 'learning_rate': 1.5e-05, 'epoch': 0.006699419383653417}
{'loss': 1.2255, 'grad_norm': 0.2572905719280243, 'learning_rate': 1.6000000000000003e-05, 'epoch': 0.007146047342563644}
{'loss': 1.3401, 'grad_norm': 0.3015117645263672, 'learning_rate': 1.7000000000000003e-05, 'epoch': 0.007592675301473872}
