/home/vijay/.local/lib/python3.10/site-packages/bitsandbytes/autograd/_functions.py:316: UserWarning: MatMul8bitLt: inputs will be cast from torch.float32 to float16 during quantization
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")
{'loss': 1.4051, 'grad_norm': 0.18987905979156494, 'learning_rate': 1.0000000000000002e-06, 'epoch': 0.0017857142857142857}
{'loss': 1.3557, 'grad_norm': 0.18754354119300842, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.0035714285714285713}
{'loss': 1.2645, 'grad_norm': 0.18717150390148163, 'learning_rate': 3e-06, 'epoch': 0.005357142857142857}
{'loss': 1.3146, 'grad_norm': 0.19238196313381195, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.007142857142857143}
{'loss': 1.3689, 'grad_norm': 0.1914304792881012, 'learning_rate': 5e-06, 'epoch': 0.008928571428571428}
{'loss': 1.3009, 'grad_norm': 0.2857426404953003, 'learning_rate': 6e-06, 'epoch': 0.010714285714285714}
{'loss': 1.4533, 'grad_norm': 0.19974665343761444, 'learning_rate': 7.000000000000001e-06, 'epoch': 0.0125}
{'loss': 1.3253, 'grad_norm': 0.18912406265735626, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.014285714285714285}
{'loss': 1.3378, 'grad_norm': 0.20180219411849976, 'learning_rate': 9e-06, 'epoch': 0.01607142857142857}
{'loss': 1.2782, 'grad_norm': 0.19329030811786652, 'learning_rate': 1e-05, 'epoch': 0.017857142857142856}
{'loss': 1.2999, 'grad_norm': 0.2011430412530899, 'learning_rate': 1.1000000000000001e-05, 'epoch': 0.019642857142857142}
{'loss': 1.3823, 'grad_norm': 0.2156161665916443, 'learning_rate': 1.2e-05, 'epoch': 0.02142857142857143}
{'loss': 1.3465, 'grad_norm': 0.23179586231708527, 'learning_rate': 1.3000000000000001e-05, 'epoch': 0.023214285714285715}
{'loss': 1.3247, 'grad_norm': 1.1285659074783325, 'learning_rate': 1.4000000000000001e-05, 'epoch': 0.025}
{'loss': 1.3618, 'grad_norm': 0.23166708648204803, 'learning_rate': 1.5e-05, 'epoch': 0.026785714285714284}
{'loss': 1.4394, 'grad_norm': 0.26144447922706604, 'learning_rate': 1.6000000000000003e-05, 'epoch': 0.02857142857142857}
{'loss': 1.3179, 'grad_norm': 0.23383811116218567, 'learning_rate': 1.7000000000000003e-05, 'epoch': 0.030357142857142857}
{'loss': 1.2385, 'grad_norm': 0.21349340677261353, 'learning_rate': 1.8e-05, 'epoch': 0.03214285714285714}
{'loss': 1.4398, 'grad_norm': 0.27877217531204224, 'learning_rate': 1.9e-05, 'epoch': 0.033928571428571426}
{'loss': 1.3057, 'grad_norm': 0.44805604219436646, 'learning_rate': 2e-05, 'epoch': 0.03571428571428571}
{'loss': 1.3933, 'grad_norm': 0.2801358699798584, 'learning_rate': 2.1e-05, 'epoch': 0.0375}
{'loss': 1.394, 'grad_norm': 0.5819352865219116, 'learning_rate': 2.2000000000000003e-05, 'epoch': 0.039285714285714285}
{'loss': 1.2227, 'grad_norm': 0.23414669930934906, 'learning_rate': 2.3000000000000003e-05, 'epoch': 0.04107142857142857}
{'loss': 1.2789, 'grad_norm': 0.2733825445175171, 'learning_rate': 2.4e-05, 'epoch': 0.04285714285714286}
{'loss': 1.2527, 'grad_norm': 0.2547801733016968, 'learning_rate': 2.5e-05, 'epoch': 0.044642857142857144}
{'loss': 1.2746, 'grad_norm': 0.2503449022769928, 'learning_rate': 2.6000000000000002e-05, 'epoch': 0.04642857142857143}
{'loss': 1.3371, 'grad_norm': 0.2806904911994934, 'learning_rate': 2.7000000000000002e-05, 'epoch': 0.048214285714285716}
{'loss': 1.206, 'grad_norm': 0.28200361132621765, 'learning_rate': 2.8000000000000003e-05, 'epoch': 0.05}
{'loss': 1.2676, 'grad_norm': 0.30755364894866943, 'learning_rate': 2.9e-05, 'epoch': 0.05178571428571429}
{'loss': 1.3005, 'grad_norm': 0.3495640158653259, 'learning_rate': 3e-05, 'epoch': 0.05357142857142857}
{'loss': 1.1747, 'grad_norm': 0.28791114687919617, 'learning_rate': 3.1e-05, 'epoch': 0.055357142857142855}
{'loss': 1.1126, 'grad_norm': 0.2798246741294861, 'learning_rate': 3.2000000000000005e-05, 'epoch': 0.05714285714285714}
{'loss': 1.2039, 'grad_norm': 1.1502498388290405, 'learning_rate': 3.3e-05, 'epoch': 0.05892857142857143}
{'loss': 1.214, 'grad_norm': 0.3205641806125641, 'learning_rate': 3.4000000000000007e-05, 'epoch': 0.060714285714285714}
{'loss': 1.1811, 'grad_norm': 0.2963852286338806, 'learning_rate': 3.5e-05, 'epoch': 0.0625}
{'loss': 1.2848, 'grad_norm': 0.3638380467891693, 'learning_rate': 3.6e-05, 'epoch': 0.06428571428571428}
{'loss': 1.278, 'grad_norm': 0.31568050384521484, 'learning_rate': 3.7e-05, 'epoch': 0.06607142857142857}
{'loss': 1.158, 'grad_norm': 0.29599547386169434, 'learning_rate': 3.8e-05, 'epoch': 0.06785714285714285}
{'loss': 1.2138, 'grad_norm': 0.31862133741378784, 'learning_rate': 3.9000000000000006e-05, 'epoch': 0.06964285714285715}
{'loss': 1.1851, 'grad_norm': 0.29197385907173157, 'learning_rate': 4e-05, 'epoch': 0.07142857142857142}
{'loss': 1.1005, 'grad_norm': 0.31125301122665405, 'learning_rate': 4.1e-05, 'epoch': 0.07321428571428572}
{'loss': 1.1717, 'grad_norm': 0.2993101179599762, 'learning_rate': 4.2e-05, 'epoch': 0.075}
{'loss': 1.2398, 'grad_norm': 0.3064885437488556, 'learning_rate': 4.3e-05, 'epoch': 0.07678571428571429}
{'loss': 1.152, 'grad_norm': 0.3012693226337433, 'learning_rate': 4.4000000000000006e-05, 'epoch': 0.07857142857142857}
{'loss': 1.1282, 'grad_norm': 0.36154329776763916, 'learning_rate': 4.5e-05, 'epoch': 0.08035714285714286}
{'loss': 1.2062, 'grad_norm': 0.3348868489265442, 'learning_rate': 4.600000000000001e-05, 'epoch': 0.08214285714285714}
{'loss': 1.1669, 'grad_norm': 0.3530113101005554, 'learning_rate': 4.7e-05, 'epoch': 0.08392857142857142}
{'loss': 1.0857, 'grad_norm': 0.3389933705329895, 'learning_rate': 4.8e-05, 'epoch': 0.08571428571428572}
{'loss': 1.1451, 'grad_norm': 0.3149801194667816, 'learning_rate': 4.9e-05, 'epoch': 0.0875}
{'loss': 1.1875, 'grad_norm': 0.37423643469810486, 'learning_rate': 5e-05, 'epoch': 0.08928571428571429}
{'loss': 1.1326, 'grad_norm': 0.32918447256088257, 'learning_rate': 5.1000000000000006e-05, 'epoch': 0.09107142857142857}
{'loss': 1.1006, 'grad_norm': 0.3192276954650879, 'learning_rate': 5.2000000000000004e-05, 'epoch': 0.09285714285714286}
{'loss': 1.0694, 'grad_norm': 0.41020748019218445, 'learning_rate': 5.300000000000001e-05, 'epoch': 0.09464285714285714}
{'loss': 1.0529, 'grad_norm': 0.4585491716861725, 'learning_rate': 5.4000000000000005e-05, 'epoch': 0.09642857142857143}
{'loss': 0.9595, 'grad_norm': 0.3249858021736145, 'learning_rate': 5.500000000000001e-05, 'epoch': 0.09821428571428571}
{'loss': 1.0464, 'grad_norm': 0.3535100221633911, 'learning_rate': 5.6000000000000006e-05, 'epoch': 0.1}
{'loss': 1.0701, 'grad_norm': 0.3334057629108429, 'learning_rate': 5.6999999999999996e-05, 'epoch': 0.10178571428571428}
{'loss': 1.0357, 'grad_norm': 0.3253757357597351, 'learning_rate': 5.8e-05, 'epoch': 0.10357142857142858}
{'loss': 0.9758, 'grad_norm': 0.3191441297531128, 'learning_rate': 5.9e-05, 'epoch': 0.10535714285714286}
{'loss': 1.1094, 'grad_norm': 0.37486326694488525, 'learning_rate': 6e-05, 'epoch': 0.10714285714285714}
{'loss': 1.0236, 'grad_norm': 0.3006289601325989, 'learning_rate': 6.1e-05, 'epoch': 0.10892857142857143}
{'loss': 1.1385, 'grad_norm': 0.5912652015686035, 'learning_rate': 6.2e-05, 'epoch': 0.11071428571428571}
{'loss': 1.1021, 'grad_norm': 0.34353068470954895, 'learning_rate': 6.3e-05, 'epoch': 0.1125}
{'loss': 1.091, 'grad_norm': 0.37348854541778564, 'learning_rate': 6.400000000000001e-05, 'epoch': 0.11428571428571428}
{'loss': 1.056, 'grad_norm': 0.362935334444046, 'learning_rate': 6.500000000000001e-05, 'epoch': 0.11607142857142858}
{'loss': 1.0223, 'grad_norm': 0.4385577142238617, 'learning_rate': 6.6e-05, 'epoch': 0.11785714285714285}
{'loss': 1.0165, 'grad_norm': 0.3472285270690918, 'learning_rate': 6.7e-05, 'epoch': 0.11964285714285715}
{'loss': 0.9269, 'grad_norm': 0.320725679397583, 'learning_rate': 6.800000000000001e-05, 'epoch': 0.12142857142857143}
{'loss': 1.1065, 'grad_norm': 0.4242115616798401, 'learning_rate': 6.9e-05, 'epoch': 0.12321428571428572}
{'loss': 1.1361, 'grad_norm': 1.0829126834869385, 'learning_rate': 7e-05, 'epoch': 0.125}
{'loss': 0.9818, 'grad_norm': 0.3304887115955353, 'learning_rate': 7.1e-05, 'epoch': 0.12678571428571428}
{'loss': 0.9945, 'grad_norm': 0.3532569408416748, 'learning_rate': 7.2e-05, 'epoch': 0.12857142857142856}
{'loss': 1.1041, 'grad_norm': 0.6567934155464172, 'learning_rate': 7.3e-05, 'epoch': 0.13035714285714287}
{'loss': 0.956, 'grad_norm': 0.3139893114566803, 'learning_rate': 7.4e-05, 'epoch': 0.13214285714285715}
{'loss': 1.0568, 'grad_norm': 0.3723398745059967, 'learning_rate': 7.500000000000001e-05, 'epoch': 0.13392857142857142}
{'loss': 1.051, 'grad_norm': 0.47391146421432495, 'learning_rate': 7.6e-05, 'epoch': 0.1357142857142857}
